income,credit_score,debt,debt_to_income,age,loan_approved
17795,405,25298,1.4216352908120258,62,0
2860,674,22191,7.759090909090909,70,0
7390,398,56964,7.708254397834912,57,1
13964,491,33092,2.3698080779146378,62,1
13284,624,89407,6.730427582053598,32,1
8265,766,75257,9.10550514216576,37,1
18850,666,62513,3.316339522546419,37,0
6426,617,51097,7.951602863367569,62,1
16423,443,30279,1.8436948182427084,72,1
13363,683,14404,1.077901668786949,22,0
18023,515,70022,3.8851467569217113,71,0
10322,660,35198,3.4099980623910096,71,1
3685,623,94223,25.56933514246947,49,1
2769,314,49997,18.055976886962803,23,0
4433,516,78692,17.75140988044214,47,1
7311,791,567,0.07755437012720558,43,1
7051,846,61032,8.655793504467452,54,1
8420,482,2179,0.25878859857482184,30,0
19568,569,2019,0.10317865903515945,46,0
8396,766,81455,9.70164363982849,22,1
10666,818,85239,7.99165572848303,42,1
4747,841,18704,3.940172740678323,30,1
2189,766,18030,8.236637734125171,41,1
5005,604,69445,13.875124875124875,48,1
3899,443,73551,18.864067709669147,37,1
3267,410,3420,1.046831955922865,72,0
19912,531,59875,3.0069807151466454,25,0
13394,799,47653,3.5577870688367925,26,1
5556,572,16740,3.012958963282937,38,0
5890,472,65263,11.080305602716468,68,0
10838,306,95864,8.845174386418158,37,0
16502,454,64559,3.912192461519816,32,0
12627,821,19465,1.5415379741823076,43,1
10792,845,51432,4.765752409191994,71,1
12555,847,4131,0.32903225806451614,59,1
12253,817,10652,0.8693381212764221,28,1
10433,514,64973,6.22764305568868,54,0
12233,433,87043,7.115425488432927,58,0
13016,584,47147,3.6222341733251384,28,1
4612,425,47671,10.336296617519514,44,0
17787,738,89342,5.0228818800247375,47,1
19159,451,19171,1.0006263374915183,36,1
14206,630,86129,6.062860763057863,51,0
10226,837,55692,5.446117739096421,55,1
16541,682,58541,3.5391451544646637,40,1
5152,414,9470,1.8381211180124224,70,0
3585,781,61344,17.11129707112971,18,1
5943,583,44308,7.455493858320714,20,0
3021,374,50639,16.762330354187355,20,1
13653,465,21326,1.5620010254156595,45,0
12805,488,4597,0.3590003904724717,31,0
15417,377,30788,1.9970162807290652,69,0
9989,320,65020,6.509160076083692,47,0
11692,483,49477,4.231696886760178,71,0
14990,521,33071,2.206204136090727,22,1
8873,627,70603,7.9570607460836245,66,0
7675,478,61923,8.06814332247557,32,0
2161,411,70560,32.65155020823693,55,0
6297,358,73251,11.632682229633158,31,0
2995,626,57492,19.195993322203673,31,0
13534,490,31770,2.3474213092951084,74,0
9629,499,76762,7.971959705057638,66,0
3016,611,35399,11.737068965517242,25,0
10529,334,78948,7.498147972267072,25,1
19262,678,57439,2.9819852559443465,36,1
11268,686,44415,3.941693290734824,49,0
14185,536,12569,0.8860768417342263,48,0
8331,818,2369,0.2843596206937943,46,1
10571,582,97557,9.228739002932551,58,0
9208,300,528,0.05734144222415291,28,1
7276,763,30314,4.166300164925784,62,1
18448,529,18047,0.9782632263660017,30,0
18216,471,19748,1.0841018884497144,44,1
10006,386,35109,3.5087947231661003,73,1
4568,422,13919,3.0470665499124343,36,0
4027,597,47498,11.794884529426373,43,0
4695,783,55808,11.886687965921192,70,1
17422,464,80792,4.637355068304442,68,0
7258,682,70441,9.705290713695232,54,1
8736,508,74420,8.518772893772894,65,1
2391,731,28906,12.089502300292764,26,1
15986,688,71486,4.471787814337545,45,1
14666,523,66896,4.561298240829129,49,0
7892,302,21946,2.7807906741003547,69,0
5561,671,47020,8.455313792483366,71,1
8184,745,74266,9.074535679374389,20,1
10392,415,22161,2.1325057736720554,68,0
15067,569,27738,1.8409769695360723,49,0
17265,746,3925,0.22733854619171734,22,1
4454,667,8463,1.9000898069151324,25,1
13837,552,57153,4.130447351304474,31,0
16039,616,82948,5.171644117463682,73,1
12965,714,61009,4.7056691091399925,20,1
11762,394,87938,7.476449583404183,41,1
7056,323,99546,14.107993197278912,30,1
16948,349,91253,5.384293131932972,60,0
10110,801,41552,4.109990108803165,46,1
15773,797,56271,3.5675521460724022,25,1
19412,634,9797,0.5046878219657943,68,1
2502,378,86130,34.42446043165467,59,1
8910,326,71942,8.074298540965207,48,0
14685,570,13965,0.95097037793667,43,1
2206,546,13733,6.225294650951949,35,0
19868,686,53223,2.67883027984699,35,1
17934,660,26926,1.50139400022304,74,1
19247,787,28783,1.4954538369616044,24,1
10755,651,83360,7.750813575081358,65,0
14383,555,36394,2.530348327887089,55,0
16820,521,64796,3.8523186682520807,65,0
9574,300,28287,2.9545644453728848,33,1
8374,845,82104,9.804633389061381,72,1
3678,745,30436,8.275149537792279,73,1
3059,378,86916,28.4132069303694,50,0
18198,535,90332,4.963842180459391,73,1
11914,633,73567,6.17483632701024,68,1
12817,648,87483,6.825544199110556,20,0
12921,397,3188,0.2467301292469623,55,0
11789,381,91205,7.736449232335228,21,0
18312,801,97349,5.316131498470948,53,1
13252,776,6765,0.5104889827950498,21,1
4693,849,51626,11.00063924994673,59,1
15931,313,88707,5.568200364070052,26,1
5627,691,10807,1.9205615781055625,57,0
18157,646,10204,0.5619871124084376,68,1
12173,609,92602,7.607163394397437,34,0
12230,685,57944,4.737857726901063,34,1
17707,508,42120,2.3787202801152088,50,0
13494,656,22658,1.6791166444345635,37,1
3306,393,37081,11.216273442226255,31,0
8776,392,34986,3.9865542388331816,39,0
11474,639,79322,6.913195049677531,69,1
9526,744,94819,9.953705647701028,44,1
7530,321,50304,6.680478087649402,60,0
5748,590,65592,11.411273486430062,20,0
15545,784,58548,3.766355741395947,41,1
2663,605,98447,36.96845662786331,47,0
3998,427,39986,10.001500750375188,25,0
9994,572,74095,7.413948369021413,39,1
19879,741,91594,4.607575833794456,42,1
5304,802,88281,16.64423076923077,27,1
15808,429,66151,4.184653340080971,66,0
8585,431,73598,8.572859638905067,46,0
19675,781,28214,1.434002541296061,57,1
13649,689,38745,2.83866949959704,71,0
3636,624,42548,11.701870187018702,18,1
19082,368,10681,0.5597421653914684,69,1
6737,747,6984,1.0366632032061749,38,1
16555,827,27579,1.665901540320145,56,1
15877,464,90810,5.7195943818101656,41,0
2854,787,54933,19.24772249474422,26,1
7855,725,27399,3.488096753660089,61,1
9392,564,31481,3.351895229982964,71,0
15949,641,944,0.059188663866073105,43,1
7791,577,93993,12.064304967269926,26,1
6931,738,9114,1.3149617659789352,37,1
2202,456,39846,18.095367847411445,73,0
13447,721,83666,6.2219082323194765,52,1
14688,550,77848,5.300108932461874,53,1
6389,829,32596,5.101893880106433,59,1
4327,626,75287,17.39935290039288,53,1
10004,396,6907,0.6904238304678129,71,1
9777,812,28114,2.8755241894241585,26,1
2197,515,25009,11.383249886208466,39,0
3930,431,84846,21.589312977099237,18,0
13774,559,50241,3.647524321184841,22,0
17087,424,35725,2.090770761397554,26,0
11339,381,18996,1.6752800070552958,54,0
13589,582,6047,0.4449922731621164,55,0
17708,358,28767,1.6245199909645358,36,0
19043,843,16347,0.8584256682245445,25,1
4811,460,24102,5.009769278736229,59,0
16243,583,4263,0.2624515175768023,60,0
8546,405,67438,7.891177158904751,49,0
3986,404,96359,24.174360260913197,30,0
10338,738,30540,2.9541497388276263,37,1
13411,527,75726,5.646558795019014,53,0
4911,617,63769,12.984931785787008,60,0
3734,763,40843,10.93813604713444,61,1
10680,771,27690,2.592696629213483,54,1
7759,355,2994,0.38587446835932465,47,1
4385,312,67546,15.40387685290764,27,0
13111,739,7377,0.562657310655175,48,1
6736,317,78572,11.664489311163896,42,0
3802,412,26467,6.961336138874277,46,1
10155,528,48,0.004726735598227474,41,0
10120,470,36978,3.6539525691699604,56,0
8616,594,47606,5.525301764159703,38,0
16257,488,81574,5.017776957618257,58,0
16486,725,98112,5.951231347810263,26,1
18646,378,73414,3.937251957524402,59,0
16075,481,93145,5.794401244167963,59,1
11208,798,49222,4.391684511063526,19,1
18371,370,48115,2.6190735398181917,21,0
13835,547,89606,6.476761835923383,25,1
15168,445,40647,2.679786392405063,49,1
4049,595,54607,13.486539886391702,31,1
7423,769,57410,7.734069783106561,66,1
16589,805,21996,1.3259388751582375,30,1
9158,492,54921,5.99705175802577,38,1
12248,367,83697,6.833523840627041,41,0
9400,793,46022,4.89595744680851,67,1
11874,351,40148,3.3811689405423615,35,0
17151,662,67764,3.951023263949624,62,0
